locatie-id	locatie	id	longitude	latitude
E313 Spitsstrook kmpt. 8,850-2399	E313 Spitsstrook kmpt. 8,850	2399	4.566002169	51.20411555
complex Tervuren - 4-armen (1) (zuidzijd-1067	complex Tervuren - 4-armen (1) (zuidzijd	1067	4.474266	50.815245
E313 Spitsstrook kmpt. 8,850-2398	E313 Spitsstrook kmpt. 8,850	2398	4.565983007	51.2040838
complex Jezus-Eik (2)-1080	complex Jezus-Eik (2)	1080	4.48449181	50.79180992
complex Kraainem (20) (alles behalve opr-1088	complex Kraainem (20) (alles behalve opr	1088	4.44419162	50.86374748
complex Kraainem (20) (alles behalve opr-1087	complex Kraainem (20) (alles behalve opr	1087	4.4458667	50.86418011
complex Kraainem (20) (alles behalve opr-1086	complex Kraainem (20) (alles behalve opr	1086	4.4451912	50.86371086
complex Kraainem (20) (alles behalve opr-1085	complex Kraainem (20) (alles behalve opr	1085	4.44520891	50.86368051
complex Kraainem (20) (alles behalve opr-1084	complex Kraainem (20) (alles behalve opr	1084	4.44523016	50.86365015
complex Kraainem (20) (alles behalve opr-1083	complex Kraainem (20) (alles behalve opr	1083	4.44513808	50.86380079
complex Kraainem (20) (alles behalve opr-1082	complex Kraainem (20) (alles behalve opr	1082	4.4451186	50.86383227
complex Kraainem (20) (alles behalve opr-1081	complex Kraainem (20) (alles behalve opr	1081	4.44510267	50.86386037
complex Jezus-Eik (2)-1079	complex Jezus-Eik (2)	1079	4.48542197	50.79086957
complex Jezus-Eik (2)-1078	complex Jezus-Eik (2)	1078	4.48487271	50.7913505
complex Kraainem (20) (oprit richting Lu-1091	complex Kraainem (20) (oprit richting Lu	1091	4.45623429	50.86604928
complex Kraainem (20) (alles behalve opr-1090	complex Kraainem (20) (alles behalve opr	1090	4.4423719	50.86278003
complex Bertem (22)-1099	complex Bertem (22)	1099	4.609501279	50.86140147
complex Bertem (22)-1098	complex Bertem (22)	1098	4.609512594	50.86143696
complex Bertem (22)-1097	complex Bertem (22)	1097	4.61417971	50.85920748
complex Bertem (22)-1096	complex Bertem (22)	1096	4.61403547	50.85929431
complex Kraainem (20) (oprit richting Lu-1092	complex Kraainem (20) (oprit richting Lu	1092	4.45621127	50.86608076
complex Kraainem (20) (alles behalve opr-1089	complex Kraainem (20) (alles behalve opr	1089	4.44238783	50.86275081
Kennedytunnel rechteroever-200	Kennedytunnel rechteroever	200	4.37421	51.20276
Kennedytunnel rechteroever-201	Kennedytunnel rechteroever	201	4.374244	51.202775
Kennedytunnel rechteroever-202	Kennedytunnel rechteroever	202	4.374276	51.202787
complex Kanaaldok B1-B2 (13) Thijsmanstu-203	complex Kanaaldok B1-B2 (13) Thijsmanstu	203	4.32804297	51.3110161
complex Kanaaldok B1-B2 (13) Thijsmanstu-204	complex Kanaaldok B1-B2 (13) Thijsmanstu	204	4.32801902	51.31104426
complex Kanaaldok B1-B2 (13) Thijsmanstu-205	complex Kanaaldok B1-B2 (13) Thijsmanstu	205	4.327999177	51.3110679
complex Kanaaldok B1-B2 (13) Thijsmanstu-206	complex Kanaaldok B1-B2 (13) Thijsmanstu	206	4.327815551	51.31112427
complex Kanaaldok B1-B2 (13) Thijsmanstu-207	complex Kanaaldok B1-B2 (13) Thijsmanstu	207	4.327841647	51.31109106
Liefkenshoektunnel-208	Liefkenshoektunnel	208	4.291467266	51.28894881
Liefkenshoektunnel-209	Liefkenshoektunnel	209	4.291509357	51.28893475
Liefkenshoektunnel-210	Liefkenshoektunnel	210	4.291615707	51.28887406
Liefkenshoektunnel-211	Liefkenshoektunnel	211	4.291571056	51.28888581
Beverentunnel-212	Beverentunnel	212	4.268023166	51.25897315
Beverentunnel-213	Beverentunnel	213	4.267973866	51.25898821
Beverentunnel-214	Beverentunnel	214	4.267813268	51.25903652
Beverentunnel-215	Beverentunnel	215	4.26786089	51.2590223
Haasdonk - Sint-Niklaas-Centrum-216	Haasdonk - Sint-Niklaas-Centrum	216	4.204822938	51.15038329
Haasdonk - Sint-Niklaas-Centrum-217	Haasdonk - Sint-Niklaas-Centrum	217	4.204799188	51.15041441
Haasdonk - Sint-Niklaas-Centrum-218	Haasdonk - Sint-Niklaas-Centrum	218	4.204775399	51.1504449
Haasdonk - Sint-Niklaas-Centrum-219	Haasdonk - Sint-Niklaas-Centrum	219	4.20467659	51.15056805
Haasdonk - Sint-Niklaas-Centrum-220	Haasdonk - Sint-Niklaas-Centrum	220	4.204699452	51.15053872
Haasdonk - Sint-Niklaas-Centrum-221	Haasdonk - Sint-Niklaas-Centrum	221	4.204724448	51.15050875
Moerbeke - Kemzeke-222	Moerbeke - Kemzeke	222	4.023134861	51.21945128
Moerbeke - Kemzeke-223	Moerbeke - Kemzeke	223	4.023117412	51.21948324
Moerbeke - Kemzeke-224	Moerbeke - Kemzeke	224	4.023051705	51.21961845
Moerbeke - Kemzeke-225	Moerbeke - Kemzeke	225	4.023067771	51.21958553
Wommelgem - Antwerpen-Oost (richting Ant-226	Wommelgem - Antwerpen-Oost (richting Ant	226	4.481469641	51.21075387
Wommelgem - Antwerpen-Oost (richting Ant-227	Wommelgem - Antwerpen-Oost (richting Ant	227	4.4814614	51.21072458
Wommelgem - Antwerpen-Oost (richting Ant-228	Wommelgem - Antwerpen-Oost (richting Ant	228	4.481455327	51.21069402
Knooppunt Antwerpen Oost R1-E313-229	Knooppunt Antwerpen Oost R1-E313	229	4.452390068	51.21633338
Knooppunt Antwerpen Oost R1-E313-230	Knooppunt Antwerpen Oost R1-E313	230	4.452394313	51.21630145
Knooppunt Antwerpen Oost R1-E313-231	Knooppunt Antwerpen Oost R1-E313	231	4.45247001	51.21704828
Knooppunt Antwerpen Oost R1-E313-232	Knooppunt Antwerpen Oost R1-E313	232	4.45242668	51.21701741
Knooppunt Antwerpen Oost R1-E313-233	Knooppunt Antwerpen Oost R1-E313	233	4.452383412	51.2169902
Knooppunt Antwerpen Oost R1-E313-234	Knooppunt Antwerpen Oost R1-E313	234	4.452280284	51.21690211
Knooppunt Antwerpen Oost R1-E313-235	Knooppunt Antwerpen Oost R1-E313	235	4.452260481	51.21686882
Knooppunt Antwerpen Oost R1-E313-236	Knooppunt Antwerpen Oost R1-E313	236	4.452243524	51.21683836
Knooppunt Beveren-237	Knooppunt Beveren	237	4.248908959	51.2441383
Knooppunt Beveren-238	Knooppunt Beveren	238	4.248671415	51.24427748
Knooppunt Beveren-239	Knooppunt Beveren	239	4.248643669	51.24430289
